user_id,user_name,match_rank,matched_user_id,matched_user_name,match_score,genre_score,role_score,age_score,location_score,distance_km,genre_matches,role_matches,age_compatible,matched_location
user_001,The Beatles,1,user_032,Paul McCartney,63.75,20.0,3.75,15,25,0.0,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,2,user_033,George Harrison,63.75,20.0,3.75,15,25,0.0,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,3,user_034,John Lennon,63.75,20.0,3.75,15,25,0.0,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,4,user_035,Ringo Starr,63.75,20.0,3.75,15,25,0.0,Rock|Pop,singer,True,"Liverpool, England"
user_001,The Beatles,5,user_008,Pink Floyd,52.5,10.0,22.5,15,5,286.91,Psychedelic Rock,musician|multi-instrumentalist|songwriter|singer|drummer|guitarist,True,"London, England"
user_001,The Beatles,6,user_024,Fleetwood Mac,48.75,10.0,18.75,15,5,8470.41,Rock,songwriter|actor|singer|drummer|guitarist,True,"London, England | Los Angeles, California"
user_001,The Beatles,7,user_005,Elton John,43.75,20.0,3.75,15,5,286.91,Rock|Pop,singer,True,"Pinner, England | London, England"
user_001,The Beatles,8,user_086,The Kinks,43.75,20.0,3.75,15,5,286.91,Rock|Pop,singer,True,"London, England"
user_001,The Beatles,9,user_087,The Beach Boys,43.75,20.0,3.75,15,5,8488.85,Rock|Pop,singer,True,"Hawthorne, California"
user_001,The Beatles,10,user_011,Prince,38.75,15.0,3.75,15,5,6178.27,Rock|Pop,singer,True,"Minneapolis, Minnesota"
user_002,Elvis Presley,1,user_042,Dolly Parton,85.0,20.0,30.0,15,20,316.23,Country|Pop,singer,True,"Sevierville, Tennessee | Nashville, Tennessee"
user_002,Elvis Presley,2,user_043,Johnny Cash,85.0,20.0,30.0,15,20,316.23,Country|Rock and Roll,singer,True,"Kingsland, Arkansas | Nashville, Tennessee"
user_002,Elvis Presley,3,user_018,Taylor Swift,80.0,15.0,30.0,15,20,316.23,Country|Pop,singer,True,"Reading, Pennsylvania | Nashville, Tennessee"
user_002,Elvis Presley,4,user_035,Ringo Starr,80.0,20.0,30.0,15,15,6765.26,Country|Pop,singer,True,"Liverpool, England"
user_002,Elvis Presley,5,user_040,Tina Turner,72.5,7.5,30.0,15,20,387.05,Pop,singer,True,"Nutbush, Tennessee | St. Louis, Missouri"
user_002,Elvis Presley,6,user_004,Madonna,70.0,10.0,30.0,15,15,1534.29,Pop,singer,True,"Bay City, Michigan | New York City, New York"
user_002,Elvis Presley,7,user_005,Elton John,70.0,10.0,30.0,15,15,7024.76,Pop,singer,True,"Pinner, England | London, England"
user_002,Elvis Presley,8,user_009,Mariah Carey,70.0,10.0,30.0,15,15,1534.29,Pop,singer,True,"Huntington, New York | New York City, New York"
user_002,Elvis Presley,9,user_013,David Bowie,70.0,10.0,30.0,15,15,7024.76,Pop,singer,True,"London, England"
user_002,Elvis Presley,10,user_014,Queen,70.0,10.0,30.0,15,15,7024.76,Pop,singer,True,"London, England"
user_003,Michael Jackson,1,user_054,Bruno Mars,92.5,22.5,30.0,15,25,0.0,Pop|R&B|Soul,singer,True,"Honolulu, Hawaii | Los Angeles, California"
user_003,Michael Jackson,2,user_058,Ariana Grande,85.0,15.0,30.0,15,25,0.0,Pop|R&B,singer,True,"Boca Raton, Florida | Los Angeles, California"
user_003,Michael Jackson,3,user_009,Mariah Carey,82.5,22.5,30.0,15,15,3935.54,Pop|R&B|Soul,singer,True,"Huntington, New York | New York City, New York"
user_003,Michael Jackson,4,user_010,Stevie Wonder,82.5,22.5,30.0,15,15,3185.4,Pop|R&B|Soul,singer,True,"Saginaw, Michigan | Detroit, Michigan"
user_003,Michael Jackson,5,user_012,Whitney Houston,82.5,22.5,30.0,15,15,3921.23,Pop|R&B|Soul,singer,True,"Newark, New Jersey"
user_003,Michael Jackson,6,user_020,Rihanna,82.5,22.5,30.0,15,15,3935.54,Pop|R&B|Dance,singer,True,"Saint Michael, Barbados | New York City, New York"
user_003,Michael Jackson,7,user_040,Tina Turner,82.5,22.5,30.0,15,15,2552.34,Pop|R&B|Soul,singer,True,"Nutbush, Tennessee | St. Louis, Missouri"
user_003,Michael Jackson,8,user_041,Diana Ross,82.5,22.5,30.0,15,15,3185.4,Pop|R&B|Soul,singer,True,"Detroit, Michigan"
user_003,Michael Jackson,9,user_052,Adele,82.5,22.5,30.0,15,15,8755.32,Pop|R&B|Soul,singer,True,"London, England"
user_003,Michael Jackson,10,user_056,Katy Perry,77.5,7.5,30.0,15,25,0.0,Pop,singer,True,"Santa Barbara, California | Los Angeles, California"
user_004,Madonna,1,user_009,Mariah Carey,80.0,10.0,30.0,15,25,0.0,Pop,singer,True,"Huntington, New York | New York City, New York"
user_004,Madonna,2,user_012,Whitney Houston,77.5,7.5,30.0,15,25,14.35,Pop,singer,True,"Newark, New Jersey"
user_004,Madonna,3,user_003,Michael Jackson,75.0,15.0,30.0,15,15,3935.54,Pop|Dance,singer,True,"Gary, Indiana | Los Angeles, California"
user_004,Madonna,4,user_055,Lady Gaga,75.0,20.0,30.0,0,25,0.0,Pop|Dance,singer,False,"New York City, New York"
user_004,Madonna,5,user_005,Elton John,70.0,10.0,30.0,15,15,5570.24,Pop,singer,True,"Pinner, England | London, England"
user_004,Madonna,6,user_013,David Bowie,70.0,10.0,30.0,15,15,5570.24,Pop,singer,True,"London, England"
user_004,Madonna,7,user_014,Queen,70.0,10.0,30.0,15,15,5570.24,Pop,singer,True,"London, England"
user_004,Madonna,8,user_020,Rihanna,70.0,15.0,30.0,0,25,0.0,Pop|Dance,singer,False,"Saint Michael, Barbados | New York City, New York"
user_004,Madonna,9,user_023,Jay Z,70.0,0.0,30.0,15,25,6.48,,singer,True,"Brooklyn, New York"
user_004,Madonna,10,user_028,Radiohead,70.0,10.0,30.0,15,15,5488.37,Electronica,singer,True,"Abingdon, England"
user_005,Elton John,1,user_013,David Bowie,90.0,20.0,30.0,15,25,0.0,Glam Rock|Pop,singer,True,"London, England"
user_005,Elton John,2,user_014,Queen,90.0,20.0,30.0,15,25,0.0,Rock|Pop,singer,True,"London, England"
user_005,Elton John,3,user_086,The Kinks,90.0,20.0,30.0,15,25,0.0,Rock|Pop,singer,True,"London, England"
user_005,Elton John,4,user_007,Rolling Stones,80.0,10.0,30.0,15,25,0.0,Rock,singer,True,"London, England"
user_005,Elton John,5,user_046,Jimi Hendrix,80.0,10.0,30.0,15,25,0.0,Rock,singer,True,"Seattle, Washington | London, England"
user_005,Elton John,6,user_047,Eric Clapton,80.0,10.0,30.0,15,25,0.0,Rock,singer,True,"Ripley, England | London, England"
user_005,Elton John,7,user_052,Adele,80.0,10.0,30.0,15,25,0.0,Pop,singer,True,"London, England"
user_005,Elton John,8,user_053,Ed Sheeran,80.0,10.0,30.0,15,25,0.0,Pop,singer,True,"Halifax, England | London, England"
user_005,Elton John,9,user_085,The Who,80.0,10.0,30.0,15,25,0.0,Rock,singer,True,"London, England"
user_005,Elton John,10,user_099,Dua Lipa,80.0,10.0,30.0,15,25,0.0,Pop,singer,True,"London, England"
user_006,Led Zeppelin,1,user_083,Deep Purple,90.0,20.0,30.0,15,25,0.0,Hard Rock|Heavy Metal,singer,True,"London, England"
user_006,Led Zeppelin,2,user_007,Rolling Stones,80.0,10.0,30.0,15,25,0.0,Blues Rock,singer,True,"London, England"
user_006,Led Zeppelin,3,user_046,Jimi Hendrix,80.0,10.0,30.0,15,25,0.0,Blues Rock,singer,True,"Seattle, Washington | London, England"
user_006,Led Zeppelin,4,user_081,Iron Maiden,80.0,10.0,30.0,15,25,0.0,Heavy Metal,singer,True,"London, England"
user_006,Led Zeppelin,5,user_085,The Who,80.0,10.0,30.0,15,25,0.0,Hard Rock,singer,True,"London, England"
user_006,Led Zeppelin,6,user_005,Elton John,70.0,0.0,30.0,15,25,0.0,,singer,True,"Pinner, England | London, England"
user_006,Led Zeppelin,7,user_013,David Bowie,70.0,0.0,30.0,15,25,0.0,,singer,True,"London, England"
user_006,Led Zeppelin,8,user_014,Queen,70.0,0.0,30.0,15,25,0.0,,singer,True,"London, England"
user_006,Led Zeppelin,9,user_025,AC DC,70.0,20.0,30.0,15,5,16993.28,Hard Rock|Blues Rock,singer,True,"Sydney, Australia"
user_006,Led Zeppelin,10,user_047,Eric Clapton,70.0,0.0,30.0,15,25,0.0,,singer,True,"Ripley, England | London, England"
user_007,Rolling Stones,1,user_046,Jimi Hendrix,90.0,20.0,30.0,15,25,0.0,Rock|Blues Rock,singer,True,"Seattle, Washington | London, England"
user_007,Rolling Stones,2,user_047,Eric Clapton,85.0,15.0,30.0,15,25,0.0,Rock,singer,True,"Ripley, England | London, England"
user_007,Rolling Stones,3,user_085,The Who,85.0,15.0,30.0,15,25,0.0,Rock,singer,True,"London, England"
user_007,Rolling Stones,4,user_086,The Kinks,85.0,15.0,30.0,15,25,0.0,Rock,singer,True,"London, England"
user_007,Rolling Stones,5,user_005,Elton John,80.0,10.0,30.0,15,25,0.0,Rock,singer,True,"Pinner, England | London, England"
user_007,Rolling Stones,6,user_006,Led Zeppelin,80.0,10.0,30.0,15,25,0.0,Blues Rock,singer,True,"London, England"
user_007,Rolling Stones,7,user_014,Queen,80.0,10.0,30.0,15,25,0.0,Rock,singer,True,"London, England"
user_007,Rolling Stones,8,user_013,David Bowie,70.0,0.0,30.0,15,25,0.0,,singer,True,"London, England"
user_007,Rolling Stones,9,user_052,Adele,70.0,0.0,30.0,15,25,0.0,,singer,True,"London, England"
user_007,Rolling Stones,10,user_053,Ed Sheeran,70.0,0.0,30.0,15,25,0.0,,singer,True,"Halifax, England | London, England"
user_008,Pink Floyd,1,user_001,The Beatles,67.5,10.0,22.5,15,20,286.91,Psychedelic Rock,musician|multi-instrumentalist|songwriter|singer|drummer|guitarist,True,"Liverpool, England"
user_008,Pink Floyd,2,user_091,Genesis,62.5,15.0,7.5,15,25,0.0,Progressive Rock,singer|producer,True,"London, England"
user_008,Pink Floyd,3,user_092,Phil Collins,58.75,0.0,18.75,15,25,0.0,,musician|songwriter|singer|drummer|composer,True,"London, England"
user_008,Pink Floyd,4,user_046,Jimi Hendrix,53.75,10.0,3.75,15,25,0.0,Psychedelic Rock,singer,True,"Seattle, Washington | London, England"
user_008,Pink Floyd,5,user_093,Peter Gabriel,53.75,10.0,3.75,15,25,37.46,Progressive Rock,singer,True,"Chobham, England"
user_008,Pink Floyd,6,user_073,Red Hot Chili Peppers,52.5,0.0,22.5,15,15,8755.32,,musician|songwriter|singer|drummer|guitarist|composer,True,"Los Angeles, California"
user_008,Pink Floyd,7,user_084,The Doors,48.75,15.0,3.75,15,15,8755.32,Psychedelic Rock,singer,True,"Los Angeles, California"
user_008,Pink Floyd,8,user_024,Fleetwood Mac,45.0,0.0,15.0,15,15,8755.32,,songwriter|singer|drummer|guitarist,True,"London, England | Los Angeles, California"
user_008,Pink Floyd,9,user_026,Metallica,45.0,0.0,15.0,15,15,8605.49,,songwriter|singer|drummer|guitarist,True,"Los Angeles, California | San Francisco Bay Area, California"
user_008,Pink Floyd,10,user_082,Black Sabbath,44.5,0.0,7.5,15,22,162.21,,songwriter|musician,True,"Birmingham, England"
user_009,Mariah Carey,1,user_012,Whitney Houston,92.5,22.5,30.0,15,25,14.35,Pop|R&B|Soul,singer,True,"Newark, New Jersey"
user_009,Mariah Carey,2,user_052,Adele,90.0,30.0,30.0,15,15,5570.24,Pop|R&B|Soul,singer,True,"London, England"
user_009,Mariah Carey,3,user_089,Hall Oates,87.0,20.0,30.0,15,22,129.62,R&B|Soul,singer,True,"Philadelphia, Pennsylvania"
user_009,Mariah Carey,4,user_020,Rihanna,85.0,15.0,30.0,15,25,0.0,Pop|R&B,singer,True,"Saint Michael, Barbados | New York City, New York"
user_009,Mariah Carey,5,user_003,Michael Jackson,82.5,22.5,30.0,15,15,3935.54,Pop|R&B|Soul,singer,True,"Gary, Indiana | Los Angeles, California"
user_009,Mariah Carey,6,user_010,Stevie Wonder,82.5,22.5,30.0,15,15,773.08,Pop|R&B|Soul,singer,True,"Saginaw, Michigan | Detroit, Michigan"
user_009,Mariah Carey,7,user_040,Tina Turner,82.5,22.5,30.0,15,15,1403.07,Pop|R&B|Soul,singer,True,"Nutbush, Tennessee | St. Louis, Missouri"
user_009,Mariah Carey,8,user_041,Diana Ross,82.5,22.5,30.0,15,15,773.08,Pop|R&B|Soul,singer,True,"Detroit, Michigan"
user_009,Mariah Carey,9,user_054,Bruno Mars,82.5,22.5,30.0,15,15,3935.54,Pop|R&B|Soul,singer,True,"Honolulu, Hawaii | Los Angeles, California"
user_009,Mariah Carey,10,user_004,Madonna,80.0,10.0,30.0,15,25,0.0,Pop,singer,True,"Bay City, Michigan | New York City, New York"
user_010,Stevie Wonder,1,user_041,Diana Ross,92.5,22.5,30.0,15,25,0.0,Pop|R&B|Soul,singer,True,"Detroit, Michigan"
user_010,Stevie Wonder,2,user_054,Bruno Mars,90.0,30.0,30.0,15,15,3185.4,Funk|Pop|R&B|Soul,singer,True,"Honolulu, Hawaii | Los Angeles, California"
user_010,Stevie Wonder,3,user_016,Aretha Franklin,85.0,15.0,30.0,15,25,0.0,R&B|Soul,singer,True,"Memphis, Tennessee | Detroit, Michigan"
user_010,Stevie Wonder,4,user_038,Marvin Gaye,85.0,15.0,30.0,15,25,0.0,R&B|Soul,singer,True,"Washington, D.C. | Detroit, Michigan"
user_010,Stevie Wonder,5,user_003,Michael Jackson,82.5,22.5,30.0,15,15,3185.4,Pop|R&B|Soul,singer,True,"Gary, Indiana | Los Angeles, California"
user_010,Stevie Wonder,6,user_009,Mariah Carey,82.5,22.5,30.0,15,15,773.08,Pop|R&B|Soul,singer,True,"Huntington, New York | New York City, New York"
user_010,Stevie Wonder,7,user_011,Prince,82.5,22.5,30.0,15,15,872.8,Funk|Pop|R&B,singer,True,"Minneapolis, Minnesota"
user_010,Stevie Wonder,8,user_012,Whitney Houston,82.5,22.5,30.0,15,15,758.87,Pop|R&B|Soul,singer,True,"Newark, New Jersey"
user_010,Stevie Wonder,9,user_039,James Brown,82.5,22.5,30.0,15,15,989.28,Funk|R&B|Soul,singer,True,"Barnwell, South Carolina | Augusta, Georgia"
user_010,Stevie Wonder,10,user_040,Tina Turner,82.5,22.5,30.0,15,15,731.56,Pop|R&B|Soul,singer,True,"Nutbush, Tennessee | St. Louis, Missouri"
user_011,Prince,1,user_010,Stevie Wonder,82.5,22.5,30.0,15,15,872.8,Funk|Pop|R&B,singer,True,"Saginaw, Michigan | Detroit, Michigan"
user_011,Prince,2,user_040,Tina Turner,82.5,22.5,30.0,15,15,750.33,Rock|Pop|R&B,singer,True,"Nutbush, Tennessee | St. Louis, Missouri"
